Date,Store,Store_Type,Product,Category,Price,Cost_Price,Discount,Holiday,Weekend,Day_of_Week,Month,Season,Temperature,Rainfall_mm,Promotion,Competitor_Price,Inventory,Previous_Week_Sales,Previous_Month_Sales,Demand,Units_Sold,Revenue,Profit,Stockout
2025-06-24,University Outlet,Campus,Jeans,Clothing,1382.23,796.47,10.0,No,No,Tuesday,6,Monsoon,26.6,145.2,None,1477.7,17,9,93,19,17,23497.91,9957.92,Yes
2024-11-20,Downtown Store,Urban,Hoodie,Clothing,1491.77,879.35,8.0,No,No,Wednesday,11,Post-Monsoon,25.7,13.3,None,1722.51,33,18,36,15,15,22376.55,9186.3,No
2024-04-02,West Point,Urban,Smartwatch,Electronics,7367.57,5772.47,13.0,No,No,Tuesday,4,Summer,33.4,26.5,Low,8405.85,14,36,109,30,14,103145.98,22331.4,Yes
2026-05-25,South Plaza,Mall,Bread,Groceries,33.35,30.77,30.0,No,No,Monday,5,Summer,39.2,11.3,High,52.05,333,213,949,229,229,7637.15,590.82,No
2026-02-18,Central Hyper,Hypermarket,Tea 250g,Beverages,167.62,141.05,12.0,No,No,Wednesday,2,Winter,25.7,54.2,Medium,202.98,154,120,511,113,113,18941.06,3002.41,No
2024-07-17,North Hub,Suburban,Shampoo,Health & Personal Care,328.67,231.47,20.0,No,No,Wednesday,7,Monsoon,33.1,135.0,Medium,442.07,91,89,287,89,89,29251.63,8650.8,No
2025-02-06,Riverside Branch,Suburban,Jeans,Clothing,1314.92,787.35,15.0,No,No,Thursday,2,Winter,31.4,46.7,Low,1473.56,59,31,123,32,32,42077.44,16882.24,No
2024-04-28,Mall Outlet,Mall,LED Bulb,Home & Kitchen,124.7,93.82,30.0,No,Yes,Sunday,4,Summer,36.6,40.1,High,167.25,160,127,552,132,132,16460.4,4076.16,No
2026-01-10,Airport Kiosk,Transit,Tea 250g,Beverages,173.44,139.55,12.0,No,Yes,Saturday,1,Winter,21.3,0,Medium,214.29,92,88,310,78,78,13528.32,2643.42,No
2025-07-28,Grand Bazaar,Market,Cap,Clothing,265.87,155.04,30.0,No,No,Monday,7,Monsoon,28.6,54.1,High,362.88,109,70,285,72,72,19142.64,7979.76,No
2024-10-29,Airport Kiosk,Transit,Tablet,Electronics,17350.73,13959.6,10.0,No,No,Tuesday,10,Post-Monsoon,31.3,13.1,Low,19893.25,24,7,84,10,10,173507.3,33911.3,No
2025-05-17,University Outlet,Campus,Milk 1L,Groceries,51.09,46.16,8.0,No,Yes,Saturday,5,Summer,43.5,21.8,Low,53.54,127,183,594,173,127,6488.43,626.11,Yes
2025-05-07,University Outlet,Campus,Soap Pack,Health & Personal Care,172.25,95.14,0.0,No,No,Wednesday,5,Summer,37.7,39.3,None,178.8,118,72,341,73,73,12574.25,5629.03,No
2025-02-23,Downtown Store,Urban,Mixer Grinder,Home & Kitchen,3257.1,2257.99,5.0,No,Yes,Sunday,2,Winter,26.6,0,None,3824.98,14,21,110,25,14,45599.4,13987.54,Yes
2024-04-11,Airport Kiosk,Transit,LED Bulb,Home & Kitchen,124.16,98.69,30.0,No,No,Thursday,4,Summer,42.0,18.4,High,192.17,127,95,284,83,83,10305.28,2114.01,No
2025-08-06,Railway Kiosk,Transit,Electric Kettle,Home & Kitchen,1415.41,919.02,0.0,No,No,Wednesday,8,Monsoon,30.8,175.9,None,1370.39,15,6,68,10,10,14154.1,4963.9,No
2024-08-08,Downtown Store,Urban,Jacket,Clothing,2804.67,1609.65,5.0,No,No,Thursday,8,Monsoon,27.3,101.4,None,3022.48,34,16,63,13,13,36460.71,15535.26,No
2024-04-26,Tech Park Store,Business,Cap,Clothing,358.64,160.14,0.0,No,No,Friday,4,Summer,33.2,3.2,None,368.72,51,33,191,41,41,14704.24,8138.5,No
2025-04-06,Riverside Branch,Suburban,Smartphone,Electronics,22541.88,19536.94,8.0,No,Yes,Sunday,4,Summer,37.3,3.7,Low,24734.26,12,20,100,23,12,270502.56,36059.28,Yes
2025-04-09,West Point,Urban,Smartwatch,Electronics,8318.26,5728.59,0.0,No,No,Wednesday,4,Summer,32.9,8.7,None,7788.43,33,14,109,19,19,158046.94,49203.73,No
2026-02-12,Railway Kiosk,Transit,Smartphone,Electronics,24714.31,20498.7,0.0,No,No,Thursday,2,Winter,28.5,30.3,None,23888.32,35,10,50,14,14,346000.34,59018.54,No
2025-05-23,Central Hyper,Hypermarket,LED Bulb,Home & Kitchen,166.86,94.85,10.0,No,No,Friday,5,Summer,35.6,25.7,None,207.31,123,70,316,86,86,14349.96,6192.86,No
2024-07-29,City Center,Urban,Buttermilk,Beverages,27.03,17.18,0.0,No,No,Monday,7,Monsoon,35.6,59.1,None,25.49,255,153,490,159,159,4297.77,1566.15,No
2026-05-21,Railway Kiosk,Transit,Hoodie,Clothing,1548.94,858.91,5.0,No,No,Thursday,5,Summer,36.7,43.4,Low,1631.3,31,20,66,9,9,13940.46,6210.27,No
2024-05-03,Downtown Store,Urban,Wheat Flour 5kg,Groceries,239.42,226.51,12.0,No,No,Friday,5,Summer,35.9,15.9,Medium,268.75,147,125,526,140,140,33518.8,1807.4,No
2025-03-12,City Center,Urban,Mixer Grinder,Home & Kitchen,3392.52,2266.05,0.0,No,No,Wednesday,3,Summer,40.8,2.6,None,3458.11,16,14,78,13,13,44102.76,14644.11,No
2024-01-22,Riverside Branch,Suburban,Bread,Groceries,37.77,31.44,20.0,No,No,Monday,1,Winter,25.1,0,Medium,52.39,193,177,935,203,193,7289.61,1221.69,Yes
2025-09-10,East Market,Market,Bedsheet,Home & Kitchen,1187.52,627.59,10.0,No,No,Wednesday,9,Monsoon,30.0,132.8,Low,1276.9,32,24,59,24,24,28500.48,13438.32,No
2024-03-11,Railway Kiosk,Transit,Protein Powder,Health & Personal Care,2004.09,1690.4,12.0,No,No,Monday,3,Summer,41.0,25.3,Medium,2238.88,31,25,68,18,18,36073.62,5646.42,No
2025-02-04,Tech Park Store,Business,T-Shirt,Clothing,609.65,311.58,12.0,No,No,Tuesday,2,Winter,25.9,0,Medium,713.51,38,46,194,50,38,23166.7,11326.66,Yes
2024-05-15,Riverside Branch,Suburban,Hand Sanitizer,Health & Personal Care,99.12,49.32,0.0,No,No,Wednesday,5,Summer,37.4,12.0,None,93.43,44,49,228,60,44,4361.28,2191.2,Yes
2024-07-10,Tech Park Store,Business,Vitamins,Health & Personal Care,420.28,299.09,15.0,No,No,Wednesday,7,Monsoon,22.2,174.1,Medium,491.33,43,24,135,31,31,13028.68,3756.89,No
2025-01-29,Riverside Branch,Suburban,LED Bulb,Home & Kitchen,156.16,96.74,8.0,No,No,Wednesday,1,Winter,20.1,18.0,Low,176.38,97,79,299,74,74,11555.84,4397.08,No
2025-12-28,East Market,Market,Milk 1L,Groceries,54.67,44.84,0.0,No,Yes,Sunday,12,Winter,24.2,0,None,52.13,188,145,697,156,156,8528.52,1533.48,No
2026-03-03,City Center,Urban,Shoes,Clothing,2934.3,1874.22,10.0,No,No,Tuesday,3,Summer,38.3,14.4,None,3171.35,41,24,121,24,24,70423.2,25441.92,No
2024-03-22,South Plaza,Mall,Cold Coffee,Beverages,77.76,53.15,5.0,No,No,Friday,3,Summer,38.3,47.1,Low,88.84,192,169,616,150,150,11664.0,3691.5,No
2026-06-21,North Hub,Suburban,Laptop,Electronics,67205.17,51136.82,0.0,No,Yes,Sunday,6,Monsoon,26.2,63.3,None,63855.67,10,6,17,5,5,336025.85,80341.75,No
2025-12-08,Railway Kiosk,Transit,Cleaning Liquid,Home & Kitchen,112.25,82.32,22.0,Yes,No,Monday,12,Winter,30.5,0,Medium,146.3,73,83,396,91,73,8194.25,2184.89,Yes
2025-09-01,Riverside Branch,Suburban,Hand Sanitizer,Health & Personal Care,83.62,48.71,8.0,Yes,No,Monday,9,Monsoon,30.6,147.0,None,95.52,98,81,379,78,78,6522.36,2722.98,No
2026-06-24,East Market,Market,LED Bulb,Home & Kitchen,182.48,95.04,0.0,No,No,Wednesday,6,Monsoon,34.5,124.8,None,178.91,83,49,160,46,46,8394.08,4022.24,No
2024-08-05,Grand Bazaar,Market,Milk 1L,Groceries,54.76,47.36,12.0,No,No,Monday,8,Monsoon,27.0,164.2,Medium,63.23,161,173,592,186,161,8816.36,1191.4,Yes
2024-08-17,East Market,Market,Energy Drink,Beverages,108.84,72.18,0.0,No,Yes,Saturday,8,Monsoon,29.1,95.6,None,100.14,112,85,274,85,85,9251.4,3116.1,No
2026-03-04,Tech Park Store,Business,Power Bank,Electronics,1850.83,962.1,0.0,No,No,Wednesday,3,Summer,41.7,15.3,None,1883.22,44,32,141,38,38,70331.54,33771.74,No
2024-02-05,Suburban Branch,Suburban,Energy Drink,Beverages,92.79,73.3,25.0,No,No,Monday,2,Winter,24.9,0,High,132.16,156,126,458,131,131,12155.49,2553.19,No
2024-12-06,Riverside Branch,Suburban,Eggs 12 Pack,Groceries,84.61,67.82,12.0,Yes,No,Friday,12,Winter,22.8,31.7,Medium,91.11,238,168,745,195,195,16498.95,3274.05,No
2026-06-21,Riverside Branch,Suburban,Jeans,Clothing,1409.44,812.87,5.0,No,Yes,Sunday,6,Monsoon,29.2,189.7,Low,1552.81,47,28,126,30,30,42283.2,17897.1,No
2024-01-14,Suburban Branch,Suburban,Tablet,Electronics,19720.37,14001.4,0.0,No,Yes,Sunday,1,Winter,20.7,3.9,None,20111.3,9,6,47,16,9,177483.33,51470.73,Yes
2025-03-17,Mall Outlet,Mall,Bluetooth Speaker,Electronics,2601.78,1848.88,22.0,No,No,Monday,3,Summer,38.0,0,High,3376.46,108,61,255,64,64,166513.92,48185.6,No
2025-12-12,North Hub,Suburban,Jacket,Clothing,2309.49,1580.63,17.0,No,No,Friday,12,Winter,28.0,12.0,Medium,2862.04,47,24,55,23,23,53118.27,16763.78,No
2025-02-26,North Hub,Suburban,Mineral Water 1L,Beverages,21.68,12.03,0.0,No,No,Wednesday,2,Winter,20.3,1.5,None,22.33,126,132,435,134,126,2731.68,1215.9,Yes
2024-03-06,Central Hyper,Hypermarket,Mineral Water 1L,Beverages,19.86,11.92,5.0,No,No,Wednesday,3,Summer,35.6,0,Low,21.88,319,402,1710,382,319,6335.34,2532.86,Yes
2025-05-25,Grand Bazaar,Market,Cleaning Liquid,Home & Kitchen,128.57,80.13,10.0,No,Yes,Sunday,5,Summer,35.8,9.9,Low,140.03,71,77,348,91,71,9128.47,3439.24,Yes
2025-06-06,University Outlet,Campus,Hand Sanitizer,Health & Personal Care,91.64,50.22,10.0,No,No,Friday,6,Monsoon,27.3,87.2,Low,96.67,51,36,130,34,34,3115.76,1408.28,No
2025-11-12,Tech Park Store,Business,Fruit Juice 1L,Beverages,94.85,87.0,22.0,No,No,Wednesday,11,Post-Monsoon,30.7,68.4,Medium,115.0,171,113,506,114,114,10812.9,894.9,No
2024-06-04,Riverside Branch,Suburban,Moisturizer,Health & Personal Care,331.35,185.07,0.0,No,No,Tuesday,6,Monsoon,35.6,111.8,None,321.64,40,27,172,31,31,10271.85,4534.68,No
2025-04-30,University Outlet,Campus,Shampoo,Health & Personal Care,358.84,243.17,10.0,No,No,Wednesday,4,Summer,35.9,0,None,380.97,119,74,270,67,67,24042.28,7749.89,No
2025-05-14,East Market,Market,Frying Pan,Home & Kitchen,755.88,541.74,22.0,No,No,Wednesday,5,Summer,32.7,44.3,High,1045.22,89,57,235,58,58,43841.04,12420.12,No
2025-02-25,East Market,Market,Water Bottle,Home & Kitchen,423.39,214.58,0.0,Yes,No,Tuesday,2,Winter,18.8,2.9,None,405.35,57,35,219,38,38,16088.82,7934.78,No
2024-05-03,West Point,Urban,Storage Box,Home & Kitchen,261.16,193.31,27.0,Yes,No,Friday,5,Summer,33.8,34.9,High,365.85,85,119,370,115,85,22198.6,5767.25,Yes
2026-04-18,University Outlet,Campus,Formal Shirt,Clothing,1098.91,632.53,10.0,No,Yes,Saturday,4,Summer,34.7,10.4,Low,1288.74,77,24,99,36,36,39560.76,16789.68,No
2025-07-22,Tech Park Store,Business,Shoes,Clothing,3059.06,1873.56,8.0,No,No,Tuesday,7,Monsoon,26.2,116.8,None,3556.41,37,21,107,24,24,73417.44,28452.0,No
2025-12-25,Mall Outlet,Mall,Protein Powder,Health & Personal Care,2029.36,1660.49,12.0,No,No,Thursday,12,Winter,24.1,11.0,Medium,2254.02,14,27,88,18,14,28411.04,5164.18,Yes
2025-12-18,Grand Bazaar,Market,Jeans,Clothing,1301.53,786.54,8.0,No,No,Thursday,12,Winter,29.6,38.8,None,1326.16,56,26,208,37,37,48156.61,19054.63,No
2025-02-27,Downtown Store,Urban,Bread,Groceries,40.29,30.78,8.0,No,No,Thursday,2,Winter,22.7,13.0,Low,47.42,223,222,845,211,211,8501.19,2006.61,No
2025-07-29,Mall Outlet,Mall,Shampoo,Health & Personal Care,332.49,238.51,20.0,No,No,Tuesday,7,Monsoon,32.5,35.0,Medium,397.35,146,70,284,85,85,28261.65,7988.3,No
2024-02-03,Central Hyper,Hypermarket,Tea 250g,Beverages,154.66,136.04,20.0,No,Yes,Saturday,2,Winter,21.3,12.9,Medium,212.86,140,169,650,162,140,21652.4,2606.8,Yes
2024-07-06,City Center,Urban,Cooking Oil 1L,Groceries,168.46,151.87,5.0,No,Yes,Saturday,7,Monsoon,32.9,178.1,Low,177.46,255,163,481,150,150,25269.0,2488.5,No
2025-10-04,Suburban Branch,Suburban,Bedsheet,Home & Kitchen,1242.25,601.08,0.0,No,Yes,Saturday,10,Post-Monsoon,28.0,95.6,None,1278.24,21,15,76,16,16,19876.0,10258.72,No
2024-10-11,East Market,Market,Tablet,Electronics,16150.88,14512.39,12.0,No,No,Friday,10,Post-Monsoon,28.8,107.8,Medium,17749.38,22,23,108,26,22,355319.36,36046.78,Yes
2024-05-26,West Point,Urban,Headphones,Electronics,2303.35,1620.4,22.0,No,Yes,Sunday,5,Summer,39.1,10.3,Medium,3021.53,134,87,331,83,83,191178.05,56684.85,No
2024-10-04,Grand Bazaar,Market,Soap Pack,Health & Personal Care,146.12,97.45,12.0,No,No,Friday,10,Post-Monsoon,27.2,103.7,Medium,169.94,157,118,480,118,118,17242.16,5743.06,No
2024-02-15,City Center,Urban,LED Bulb,Home & Kitchen,179.15,98.67,0.0,No,No,Thursday,2,Winter,23.0,17.2,None,187.37,68,67,292,63,63,11286.45,5070.24,No
2025-01-31,East Market,Market,Hoodie,Clothing,1523.63,879.52,10.0,No,No,Friday,1,Winter,25.1,0,None,1620.81,30,11,48,15,15,22854.45,9661.65,No
2026-01-17,North Hub,Suburban,Smartphone,Electronics,24091.78,19633.01,13.0,No,Yes,Saturday,1,Winter,23.4,0,Low,30056.22,26,21,80,23,23,554110.94,102551.71,No
2024-02-19,Tech Park Store,Business,Shoes,Clothing,3196.06,1804.85,0.0,No,No,Monday,2,Winter,27.7,0,None,3234.25,22,23,81,21,21,67117.26,29215.41,No
2024-07-04,South Plaza,Mall,Milk 1L,Groceries,51.18,46.4,8.0,No,No,Thursday,7,Monsoon,25.8,76.6,None,61.03,166,172,713,165,165,8444.7,788.7,No
2026-04-30,City Center,Urban,Frying Pan,Home & Kitchen,1015.19,537.32,0.0,No,No,Thursday,4,Summer,40.8,33.1,None,946.65,38,30,89,30,30,30455.7,14336.1,No
2025-05-26,Tech Park Store,Business,Electric Kettle,Home & Kitchen,1326.34,921.25,8.0,No,No,Monday,5,Summer,34.5,17.8,None,1563.84,53,18,70,19,19,25200.46,7696.71,No
2025-09-18,Central Hyper,Hypermarket,Jacket,Clothing,2593.97,1544.12,5.0,No,No,Thursday,9,Monsoon,29.3,168.6,None,2635.28,36,18,72,21,21,54473.37,22046.85,No
2026-05-18,Suburban Branch,Suburban,Water Bottle,Home & Kitchen,485.47,210.51,0.0,No,No,Monday,5,Summer,30.8,23.3,None,502.37,50,33,90,32,32,15535.04,8798.72,No
2024-04-29,West Point,Urban,Shoes,Clothing,3141.85,1823.8,10.0,No,No,Monday,4,Summer,37.2,26.5,None,3314.02,54,24,91,21,21,65978.85,27679.05,No
2024-08-02,Mall Outlet,Mall,Frying Pan,Home & Kitchen,879.39,532.39,5.0,No,No,Friday,8,Monsoon,37.5,102.5,None,1022.85,36,34,74,32,32,28140.48,11104.0,No
2024-02-27,East Market,Market,Fruit Juice 1L,Beverages,119.99,85.32,3.0,No,No,Tuesday,2,Winter,25.0,1.0,None,133.15,129,112,427,119,119,14278.81,4125.73,No
2025-09-14,University Outlet,Campus,Energy Drink,Beverages,112.76,74.79,5.0,No,Yes,Sunday,9,Monsoon,30.3,82.2,None,129.46,118,75,377,77,77,8682.52,2923.69,No
2024-06-29,East Market,Market,Cooking Oil 1L,Groceries,168.24,154.8,5.0,No,Yes,Saturday,6,Monsoon,33.8,117.9,None,189.53,190,102,359,104,104,17496.96,1397.76,No
2025-11-01,Railway Kiosk,Transit,Smartwatch,Electronics,6935.22,5855.46,15.0,No,Yes,Saturday,11,Post-Monsoon,31.1,58.9,Low,9003.37,51,26,148,26,26,180315.72,28073.76,No
2024-01-04,North Hub,Suburban,Bread,Groceries,35.04,31.32,27.0,No,No,Thursday,1,Winter,29.1,5.6,High,52.16,194,220,918,214,194,6797.76,721.68,Yes
2024-07-08,University Outlet,Campus,Smartphone,Electronics,18187.41,19710.48,27.0,No,No,Monday,7,Monsoon,26.8,162.6,High,27092.43,40,29,112,31,31,563809.71,0,No
2026-06-13,Tech Park Store,Business,Energy Drink,Beverages,120.69,71.7,0.0,No,Yes,Saturday,6,Monsoon,26.3,139.1,None,132.45,115,59,280,72,72,8689.68,3527.28,No
2024-11-24,University Outlet,Campus,Soap Pack,Health & Personal Care,164.73,94.51,3.0,No,Yes,Sunday,11,Post-Monsoon,27.9,56.9,None,176.84,78,68,255,68,68,11201.64,4774.96,No
2026-04-09,West Point,Urban,Cleaning Liquid,Home & Kitchen,142.53,80.11,5.0,No,No,Thursday,4,Summer,43.1,34.6,Low,147.12,118,62,218,67,67,9549.51,4182.14,No
2026-05-28,East Market,Market,Shampoo,Health & Personal Care,350.6,237.8,8.0,No,No,Thursday,5,Summer,31.8,22.6,None,394.88,109,67,205,67,67,23490.2,7557.6,No
2025-11-26,University Outlet,Campus,Fruit Juice 1L,Beverages,108.72,86.41,15.0,Yes,No,Wednesday,11,Post-Monsoon,28.6,165.7,Medium,134.18,165,143,516,149,149,16199.28,3324.19,No
2025-07-06,Tech Park Store,Business,Cap,Clothing,347.37,156.53,5.0,No,Yes,Sunday,7,Monsoon,28.0,125.1,Low,365.48,45,45,155,39,39,13547.43,7442.76,No
2025-01-14,Central Hyper,Hypermarket,Eggs 12 Pack,Groceries,75.05,69.73,20.0,No,No,Tuesday,1,Winter,26.6,0,Medium,87.94,208,219,751,208,208,15610.4,1106.56,No
2024-11-30,Mall Outlet,Mall,Smartphone,Electronics,18822.46,19621.73,25.0,No,Yes,Saturday,11,Post-Monsoon,30.5,27.6,High,23105.98,62,41,234,50,50,941123.0,0,No
2024-09-20,Mall Outlet,Mall,Instant Noodles,Groceries,15.44,11.98,12.0,No,No,Friday,9,Monsoon,32.1,166.1,Medium,19.04,178,239,709,224,178,2748.32,615.88,Yes
2025-01-11,West Point,Urban,Bedsheet,Home & Kitchen,1205.83,626.4,5.0,No,Yes,Saturday,1,Winter,24.3,29.2,Low,1275.41,30,23,103,25,25,30145.75,14485.75,No
2024-06-15,Tech Park Store,Business,Energy Drink,Beverages,109.35,72.35,5.0,No,Yes,Saturday,6,Monsoon,30.0,41.8,None,125.62,118,101,430,88,88,9622.8,3256.0,No
2024-03-14,Central Hyper,Hypermarket,Cleaning Liquid,Home & Kitchen,147.12,79.82,0.0,No,No,Thursday,3,Summer,40.1,13.6,None,164.46,168,97,336,94,94,13829.28,6326.2,No
2024-02-22,Railway Kiosk,Transit,Tea 250g,Beverages,151.11,135.25,17.0,No,No,Thursday,2,Winter,25.8,0,Medium,174.69,68,54,258,56,56,8462.16,888.16,No
2025-04-06,Central Hyper,Hypermarket,Cold Coffee,Beverages,88.23,51.6,3.0,No,Yes,Sunday,4,Summer,34.3,0,None,92.61,198,161,659,170,170,14999.1,6227.1,No
2024-10-24,University Outlet,Campus,Vitamins,Health & Personal Care,490.91,292.27,3.0,No,No,Thursday,10,Post-Monsoon,30.2,8.1,None,529.86,18,15,84,25,18,8836.38,3575.52,Yes
2026-05-17,Mall Outlet,Mall,Eggs 12 Pack,Groceries,73.1,66.8,22.0,No,Yes,Sunday,5,Summer,37.0,9.1,Medium,93.7,356,204,808,222,222,16228.2,1398.6,No
2025-12-06,West Point,Urban,Shampoo,Health & Personal Care,314.31,242.23,15.0,No,Yes,Saturday,12,Winter,27.6,0,Low,387.61,71,77,294,83,71,22316.01,5117.68,Yes
2024-09-30,South Plaza,Mall,Cleaning Liquid,Home & Kitchen,142.76,81.51,0.0,No,No,Monday,9,Monsoon,27.8,116.4,None,147.08,86,42,174,45,45,6424.2,2756.25,No
2024-01-30,City Center,Urban,Tablet,Electronics,14883.17,14691.78,17.0,No,No,Tuesday,1,Winter,22.6,24.8,Medium,17972.26,43,26,67,28,28,416728.76,5358.92,No
2025-05-10,University Outlet,Campus,Sugar 1kg,Groceries,41.05,44.18,22.0,No,Yes,Saturday,5,Summer,40.3,0,Medium,56.41,170,165,647,159,159,6526.95,0,No
2024-11-13,Mall Outlet,Mall,T-Shirt,Clothing,531.92,322.4,17.0,No,No,Wednesday,11,Post-Monsoon,29.3,109.2,Medium,640.23,115,60,249,72,72,38298.24,15085.44,No
2024-10-09,University Outlet,Campus,Cold Coffee,Beverages,70.52,53.1,12.0,No,No,Wednesday,10,Post-Monsoon,26.4,137.2,Medium,75.53,120,76,337,73,73,5147.96,1271.66,No
2025-12-28,Tech Park Store,Business,Bedsheet,Home & Kitchen,1031.67,616.15,22.0,No,Yes,Sunday,12,Winter,24.0,0,High,1225.6,59,45,170,41,41,42298.47,17036.32,No
2025-09-11,Downtown Store,Urban,Instant Noodles,Groceries,16.1,12.16,17.0,No,No,Thursday,9,Monsoon,30.3,101.2,Medium,17.96,221,256,930,259,221,3558.1,870.74,Yes
2024-01-02,University Outlet,Campus,Face Wash,Health & Personal Care,261.19,152.15,10.0,Yes,No,Tuesday,1,Winter,21.6,46.1,None,277.86,42,48,180,47,42,10969.98,4579.68,Yes
2024-04-27,West Point,Urban,Milk 1L,Groceries,57.88,46.49,0.0,No,Yes,Saturday,4,Summer,32.0,55.1,None,54.1,294,151,873,193,193,11170.84,2198.27,No
2024-04-29,Central Hyper,Hypermarket,Formal Shirt,Clothing,1107.21,621.51,10.0,No,No,Monday,4,Summer,34.0,0,None,1237.84,43,39,150,38,38,42073.98,18456.6,No
2025-04-22,North Hub,Suburban,Instant Noodles,Groceries,15.04,12.22,13.0,No,No,Tuesday,4,Summer,37.8,23.9,Low,16.5,245,190,826,186,186,2797.44,524.52,No
2025-10-17,West Point,Urban,Water Bottle,Home & Kitchen,433.19,209.77,0.0,No,No,Friday,10,Post-Monsoon,25.6,38.2,None,449.1,40,34,163,30,30,12995.7,6702.6,No
2026-05-21,West Point,Urban,Rice 5kg,Groceries,420.06,336.81,5.0,No,No,Thursday,5,Summer,42.7,2.7,None,458.82,146,75,339,85,85,35705.1,7076.25,No
2026-01-07,Airport Kiosk,Transit,Energy Drink,Beverages,96.01,73.73,12.0,No,No,Wednesday,1,Winter,25.6,6.7,Medium,109.24,122,101,438,97,97,9312.97,2161.16,No
2025-07-09,University Outlet,Campus,Eggs 12 Pack,Groceries,81.23,67.92,10.0,No,No,Wednesday,7,Monsoon,30.0,109.9,None,83.15,110,80,454,102,102,8285.46,1357.62,No
2024-07-19,Suburban Branch,Suburban,Fruit Juice 1L,Beverages,100.16,85.59,20.0,No,No,Friday,7,Monsoon,29.4,128.9,Medium,127.06,112,100,367,110,110,11017.6,1602.7,No
2026-01-10,Suburban Branch,Suburban,Milk 1L,Groceries,60.26,47.65,0.0,No,Yes,Saturday,1,Winter,31.9,19.2,None,59.21,96,102,434,100,96,5784.96,1210.56,Yes
2024-07-10,East Market,Market,Water Bottle,Home & Kitchen,460.32,216.82,3.0,No,No,Wednesday,7,Monsoon,30.4,172.2,None,469.13,40,41,196,40,40,18412.8,9740.0,No
2026-03-09,East Market,Market,T-Shirt,Clothing,652.09,313.32,5.0,No,No,Monday,3,Summer,43.6,8.3,None,730.98,91,47,206,50,50,32604.5,16938.5,No
2025-05-06,Airport Kiosk,Transit,Protein Powder,Health & Personal Care,2322.76,1663.37,0.0,No,No,Tuesday,5,Summer,32.4,6.5,None,2416.97,28,16,24,13,13,30195.88,8572.07,No
2024-03-10,City Center,Urban,Shampoo,Health & Personal Care,371.28,244.04,8.0,No,Yes,Sunday,3,Summer,42.4,6.7,None,435.41,131,111,353,108,108,40098.24,13741.92,No
2024-09-01,Tech Park Store,Business,Smartwatch,Electronics,8543.12,5674.58,5.0,No,Yes,Sunday,9,Monsoon,29.7,185.6,Low,10064.97,46,33,100,31,31,264836.72,88924.74,No
2025-12-02,South Plaza,Mall,T-Shirt,Clothing,645.74,309.88,8.0,No,No,Tuesday,12,Winter,25.3,0,Low,773.82,50,55,250,56,50,32287.0,16793.0,Yes
2024-05-18,Central Hyper,Hypermarket,Jeans,Clothing,1430.1,769.4,0.0,No,Yes,Saturday,5,Summer,32.5,48.0,None,1409.67,56,51,180,41,41,58634.1,27088.7,No
2025-01-15,Mall Outlet,Mall,Soap Pack,Health & Personal Care,144.02,92.04,8.0,Yes,No,Wednesday,1,Winter,23.1,19.5,Low,167.97,167,126,506,120,120,17282.4,6237.6,No
